id,url,manufacturer,model,rated_power_kw,rotor_diameter_m,rotor_area_m2,num_blades,hub_height_m,cut_in_wind_speed_ms,cut_out_wind_speed_ms,rated_wind_speed_ms,rotor_speed_rpm,generator_type,gearbox_type,tower_type,nacelle_weight_kg,rotor_weight_kg,tower_weight_kg,blade_weight_kg,total_weight_kg,voltage_v,frequency_hz,installation,offshore,onshore
1867,https://en.wind-turbine-models.com/turbines/1867-aeritalia-ait-02-medit,Aeritalia,Aeritalia AIT 02 (Medit),225,32,804,2,26,4.2,20,10.1,40.2,squirrel cage induction,,steel tube,,,,,,380,50 Hz,,No,Yes
1866,https://en.wind-turbine-models.com/turbines/1866-aeritalia-ait-03,Aeritalia,Aeritalia AIT 03,17,8.6,58,2,10,5,20,20,93,brushless synchronous permanent,,steel tube,,,,,,380,50 Hz,,No,Yes
1112,https://en.wind-turbine-models.com/turbines/1112-aerodyn-am-1-5-77,aerodyn,aerodyn aM 1.5/77,1500,77.1,4668.7,3,70,3,25,11,18.5,DFIG/PMSG,,steel tube,60300,31500,,6000,,690,50/60 Hz,,No,Yes
1113,https://en.wind-turbine-models.com/turbines/1113-aerodyn-am-1-5-83,aerodyn,aerodyn aM 1.5/83,1500,82.6,5358.5,3,70,3,25,11,17.4,DFIG/PMSG,,steel tube,60300,31600,,6100,,690,50/60 Hz,,No,Yes
1114,https://en.wind-turbine-models.com/turbines/1114-aerodyn-am-1-5-87,aerodyn,aerodyn aM 1.5/87,1500,86.6,5890,3,70,3,25,11,17.6,DFIG/PMSG,,steel tube,60300,32600,,6400,,690,50/60 Hz,,No,Yes
1115,https://en.wind-turbine-models.com/turbines/1115-aerodyn-am-1-5-92,aerodyn,aerodyn aM 1.5/92,1500,92,6647.6,3,70,3,25,10,16.6,DFIG/PMSG,,steel tube,60300,35100,,7300,,690,50/60 Hz,,No,Yes
1909,https://en.wind-turbine-models.com/turbines/1909-aerodyn-scd-nezzy2-twin-rotor,aerodyn,aerodyn SCD nezzy2 twin-rotor,15000,150,35342,4,,,,,,synchronous with brushless electrical field excitation,,floating platform,,,,,,,50/60 Hz,2022,Yes,No
1982,https://en.wind-turbine-models.com/turbines/1982-aerodyn-am-2-0-120,aerodyn,aerodyn aM 2.0/120,2000,120,11309,3,,3,22,,13.3,DFIG,,,86500,54100,,,,690,50 Hz,,No,Yes
1983,https://en.wind-turbine-models.com/turbines/1983-aerodyn-am-2-3-120,aerodyn,aerodyn aM 2.3/120,2300,120,11309,2,,3,22,,11.5,DFIG,,,89500,54100,,,,690,50 Hz,,No,Yes
1111,https://en.wind-turbine-models.com/turbines/1111-aerodyn-am-2-5-96,aerodyn,aerodyn aM 2.5/96,2500,96.1,7253,3,70,4,25,12,14.8,DFIG/PMSG,,steel tube,93200,55500,,11800,,690,50/60 Hz,,No,Yes
1110,https://en.wind-turbine-models.com/turbines/1110-aerodyn-am-2-5-103,aerodyn,aerodyn aM 2.5/103,2500,102.9,8316,3,70,4,25,11,13.9,DFIG/PMSG,,steel tube,93200,56100,,12000,,690,50/60 Hz,,No,Yes
1109,https://en.wind-turbine-models.com/turbines/1109-aerodyn-am-2-5-110,aerodyn,aerodyn aM 2.5/110,2500,110,9503,3,70,4,25,11,13,DFIG/PMSG,,steel tube,93200,56200,,12000,,690,50/60 Hz,,No,Yes
1108,https://en.wind-turbine-models.com/turbines/1108-aerodyn-am-2-5-118,aerodyn,aerodyn aM 2.5/118,2500,118.3,10991.6,3,70,4,25,10,12.1,DFIG/PMSG,,steel tube,93200,57000,,12300,,690,50/60 Hz,,No,Yes
